192.168.100.47.52737>74.125.98.42.443,600875/777772/69074/140825/1869388/1770867/241259/1484473/2080174/314371/2045600/1649053/426964/1409237/1794826/1110127/37394/
192.168.100.47.50129>196.189.186.18.443,4982/1406253/1403919/66707/1403897/66707/2101106/91201/2101106/151833/1434905/2101106/225385/2101106/1754400/
192.168.100.47.50128>196.189.186.18.443,4982/67961/796867/1704326/339469/2101106/2101106/2101106/2101106/2101106/524416/2101106/1450934/21600/
192.168.100.47.50156>196.189.186.18.443,2101106/502717/2101106/1281860/2101106/1700707/1413130/519342/2101106/2101106/2101106/2101106/1959053/1712097/1868578/533375/1833657/2101106/2101106/2010056/1667483/1310327/1599510/547534/1982001/483204/550150/566404/508670/497847/502126/478591/507258/486284/532272/514355/180775/
192.168.100.47.50146>74.125.167.71.443,137420/2001189/2101106/161869/2101106/2101106/1141302/2101106/770495/2101106/1884947/2101106/2101106/2101106/2101106/2101106/2101106/2067057/1831457/2101106/2101106/1268075/2101106/2101106/2101106/2101106/2101106/1832342/2101106/2023537/2065344/1332502/1853593/2101106/2101106/2101106/2101106/2101106/1918941/1760454/2101106/2101106/2101106/2101106/1486135/2101106/2101106/1992634/2101106/1285149/1919922/2101106/2101106/2101106/2101106/2101106/2101106/2101106/2101106/2101106/2101106/1512531/2101106/2101106/2101106/2101106/1716432/2101106/1545767/1534287/2101106/1561577/2101106/2101106/2101106/2101106/2101106/1771693/1825456/2101106/2038841/2101106/2101106/2101106/2101106/1657851/2101106/2101106/2101106/2101106/1642599/1953588/
192.168.100.47.50689>196.189.186.18.443,615847/1085114/66707/1783323/108026/210548/1455203/773310/10307/
192.168.100.47.64342>74.125.98.9.443,724058/676155/82326/1409812/165230/1657689/1726593/212290/2101106/360639/1624227/1683814/2101106/533224/1771824/1306471/1838212/2101106/521089/2006971/2101106/1911658/622714/2054708/2003471/2101106/592768/1111200/216000/
192.168.100.47.64391>74.125.98.9.443,368479/1320825/2101106/1488005/1378729/2101106/647217/1740315/1778511/513284/1857489/1366688/624887/1299168/1354207/1268496/1435142/832210/1497714/1590773/616496/1400897/1912004/1308307/1661148/1877182/511901/1108164/2024601/1305223/1947674/517272/1466365/1843453/2101106/630627/1313896/1298941/2101106/1320628/1298207/1334572/1840876/610083/1637973/2011779/1458571/1803000/1406836/623644/2101106/1336739/1838329/2008951/2101106/610181/2084253/1666060/1294789/569487/2101106/1372525/2007341/
192.168.100.47.50248>197.156.74.140.443,67349/71694/147839/214903/354521/515516/511115/520884/515814/555271/
192.168.100.47.50253>74.125.98.8.443,517662/520053/1325942/2101105/1744040/2014174/1518498/1844475/2100637/2101105/1508232/2101105/1340087/2101105/1813695/1504579/1722271/1417805/2081666/1557027/2101105/1263322/2101105/692390/
192.168.100.47.52812>74.125.98.40.443,452341/361148/72335/828209/139029/1512951/260865/1515232/353948/1979345/1892638/627975/1991956/1675766/1899547/191137/237766/
192.168.100.47.50337>197.156.74.140.443,67094/66707/108488/217980/247265/205024/
192.168.100.47.50341>74.125.98.8.443,468236/350880/771946/1457740/1564657/
192.168.100.47.52884>74.125.98.7.443,601321/600529/66707/1825421/115479/1544544/206810/
192.168.100.47.50416>213.55.110.14.443,576315/615483/66707/1263100/128992/2101105/239883/1432995/2101105/220701/1428681/1109372/
